Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min
generation - Biomass - Actual Aggregated,0.0032280814162577373,0.0050056291971850445,0.00348302337370842,0.004212420592786657,0.0030806548621694673,0.0036272234143969228,0.002845152102305747,0.0034098967645713857,0.002084569329468451,0.0031382411370959743
generation - Other - Actual Aggregated,0.0036369024054993134,0.0034091080057205543,0.003148455429061869,0.0018154335708784402,0.005356232736003222,0.0018079859590379784,0.0019934931628613414,0.0019810845645106385,0.001994789264856081,0.0021019060858789088
intraday_wind_and_solar_forecast - Solar,0.011747137596350512,0.0076115562655541,0.0070260686706969866,0.008756376661074683,0.007119942748351604,0.008925551654388983,0.010522290852692094,0.007064194137134109,0.007490340725242277,0.00373004244564072
wind_and_solar_forecast - Wind Onshore,0.0016153491425939138,0.0019534882121033663,0.002273414608816893,0.004199884569206915,0.002556677669499095,0.0016242416927416342,0.0019447491814034948,0.0028582947907916604,0.002549713193105163,0.003315967621674645
intraday_wind_and_solar_forecast - Wind Offshore,0.005096209420727973,0.006084707798813724,0.0016660380920785656,0.004018681031599954,0.0027172432388783817,0.0034379229154055794,0.0020586530375012444,0.004110077493700373,0.0019678537075783426,0.002535701986144943
generation - Fossil Oil - Actual Aggregated,0.007565471714566229,0.00586308859404744,0.0030205866879077802,0.002572591958545672,0.006383794913970633,0.005153598602868442,0.008446533755469318,0.004017660446872469,0.0029679783169185613,0.004613455229922693
wind_and_solar_forecast - Wind Offshore,0.0059133379481063454,0.006491818468763995,0.007627079736652376,0.005548502141018616,0.0056790692493086685,0.002668248748840142,0.0067617673427885164,0.005326789642069343,0.0019353660993656377,0.004464106918239849
generation - Hydro Water Reservoir - Actual Aggregated,0.03570119363933918,0.038181802124981915,0.027089384133163547,0.025957307361299174,0.01924912936491455,0.019976503721642076,0.02171165111051232,0.021711063313588966,0.01676633459831464,0.018154949170319016
generation - Fossil Hard coal - Actual Aggregated,0.007040140740769857,0.008130814676991576,0.005508703807199708,0.006812559396308643,0.0031218336031461147,0.004034337571535113,0.0038459217866075052,0.001954938384380057,0.0022304339703550797,0.004123720716808748
load_forecast - Forecasted Load,0.0067965147757204246,0.005358027731443144,0.002516374869844185,0.0014262372331195366,0.005404606325200802,0.005919031056000676,0.0018317509223434172,0.003132631344076799,0.0034730763036200187,0.00275144737440678
load - Actual Load,0.017263769664677967,0.020547655747941464,0.015196124740032246,0.015442463710045559,0.014798787972147693,0.010331824058458096,0.01332659013323837,0.01152610671488219,0.011555662257051154,0.013150075428147829
intraday_wind_and_solar_forecast - Wind Onshore_t-150min,0.0049847299834073055,0.0017450415480707306,0.003937478908817866,0.002796128127585689,0.0030082896717945006,0.0040369132554733365,0.001926947439628293,0.002392295605810034,0.0022322298018702894,0.0020935169453850902
wind_and_solar_forecast - Solar_t-150min,0.0017017570891784998,0.0020619833521082,0.0015645678287328337,0.0035293599551769147,0.002305604340138871,0.0031533798102297795,0.0022499551030832664,0.002393584302417821,0.001514295438100362,0.0015669357875508468
intraday_wind_and_solar_forecast - Wind Offshore_t-150min,0.00613667505372814,0.0031721732882979267,0.004530167250101386,0.0034620813372021075,0.0023253493087559036,0.0025149984757299533,0.0024607162687093477,0.0020225477659341776,0.002765456833285498,0.0014009255560049497
intraday_wind_and_solar_forecast - Solar_t-150min,0.003266461420822452,0.0030653361101135486,0.0026133575927924538,0.003269442757946308,0.003625068494808602,0.006235354037933576,0.006696622335104621,0.003597621673508911,0.007667756443610415,0.0044195636524891595
wind_and_solar_forecast - Wind Onshore_t-150min,0.007866694137410377,0.003715087771772005,0.0020379827222568566,0.0028277101702005895,0.0015903624926686462,0.001024017859827154,0.0015406642576688227,0.00124736658782831,0.0018500384667263176,0.00284550853307519
wind_and_solar_forecast - Wind Offshore_t-150min,0.014223614695471043,0.013678708018705948,0.003968283936977969,0.008775572382709698,0.009239484122852446,0.002262184394792712,0.006896197743722041,0.008580485110695008,0.007623790313020436,0.008066951365646674
intraday_wind_and_solar_forecast - Wind Onshore_t-135min,0.004714093697761655,0.004784369173707091,0.002897030165265278,0.002633039290902161,0.0027468722929686463,0.0016131509737328997,0.0030970438785443547,0.0013204448843971478,0.0014755279917387156,0.001382658222972168
wind_and_solar_forecast - Solar_t-135min,0.006552098834773915,0.005550845827568992,0.004897386240200831,0.006798417613783385,0.0019332926893173585,0.0013845230137249018,0.005094783149344153,0.002061474381983089,0.005477454251726158,0.0029011435578358944
intraday_wind_and_solar_forecast - Wind Offshore_t-135min,0.0014820789008654174,0.002360189406504105,0.003437339041658561,0.0018267153941833386,0.0032258422533541307,0.0025087971874377217,0.0021509209707028278,0.0033396939106914944,0.0033274383622169806,0.005577642648520851
intraday_wind_and_solar_forecast - Solar_t-135min,0.01043026122583251,0.009318088291605818,0.012396398715398391,0.008866407960187644,0.008216184214892565,0.012418894556947635,0.008637032319951686,0.010079114333522739,0.005889731231531186,0.006285726585883822
wind_and_solar_forecast - Wind Onshore_t-135min,0.0039779085904701784,0.0017952650971346884,0.0035068553837227226,0.0016886885186675044,0.0016794214258716237,0.0021728700822759494,0.00210460529613556,0.0014327099730930969,0.0013464082100113047,0.0031899230852304753
